Control_deviation,Control_pctdev,Thumb_deviation,Thumb_pctdev,Ruler_deviation,Ruler_pctdev
-1,-12.5,-5,-62.5,0,0
-3,-14.28571429,-15,-71.42857143,0,0
-1,-16.66666667,-3,-50,0,0
-6,-19.35483871,-21,-67.74193548,-4,-12.90322581
-2,-16.66666667,-8,-66.66666667,-2,-16.66666667
-4,-21.05263158,-13,-68.42105263,-2,-10.52631579
-4,-50,-1,-12.5,2,25
-11,-52.38095238,-3,-14.28571429,-1,-4.761904762
-4,-66.66666667,0,0,-1,-16.66666667
-19,-61.29032258,-5,-16.12903226,-1,-3.225806452
-9,-75,-1,-8.333333333,-2,-16.66666667
-14,-73.68421053,-2,-10.52631579,1,5.263157895
-3,-37.5,2,25,-2,-25
-11,-52.38095238,4,19.04761905,1,4.761904762
-2,-33.33333333,1.5,25,-1,-16.66666667
-15,-48.38709677,10,32.25806452,5,16.12903226
-5,-41.66666667,2,16.66666667,0,0
-9,-47.36842105,4,21.05263158,-1,-5.263157895
-3,-37.5,-0.5,-6.25,0,0
-12,-57.14285714,1.5,7.142857143,0,0
-5,-83.33333333,0,0,0,0
-19,-61.29032258,2,6.451612903,-21,-67.74193548
-9,-75,1,8.333333333,0,0
-12,-63.15789474,-2,-10.52631579,-2,-10.52631579
-3,-37.5,-4,-50,-2,-25
4,19.04761905,-7,-33.33333333,-1,-4.761904762
-3,-50,-3,-50,-1,-16.66666667
-1,-3.225806452,-6,-19.35483871,-2,-6.451612903
-2,-16.66666667,-3,-25,-2,-16.66666667
1,5.263157895,-8,-42.10526316,-2,-10.52631579
2,25,-1,-12.5,2,25
19,90.47619048,-5,-23.80952381,-5,-23.80952381
2,33.33333333,0,0,5,83.33333333
34,109.6774194,-10,-32.25806452,-14,-45.16129032
13,108.3333333,0,0,0,0
21,110.5263158,-4,-21.05263158,2,10.52631579
-4,-50,-1,-12.5,-4,-50
-7,-33.33333333,4,19.04761905,0,0
-3,-50,0,0,-1,-16.66666667
-14,-45.16129032,3,9.677419355,-2,-6.451612903
-5,-41.66666667,3,25,2,16.66666667
-9,-47.36842105,4,21.05263158,-1,-5.263157895
-4,-50,-2,-25,0,0
-3,-14.28571429,-3,-14.28571429,1,4.761904762
-3,-50,-1,-16.66666667,0,0
-10,-32.25806452,-5,-16.12903226,-1,-3.225806452
-4,-33.33333333,-2,-16.66666667,3,25
-5,-26.31578947,-3,-15.78947368,1,5.263157895
-4,-50,0,0,-2,-25
-7,-33.33333333,4,19.04761905,-3,-14.28571429
-3,-50,0,0,-1,-16.66666667
-12,-38.70967742,7,22.58064516,-6,-19.35483871
-6,-50,2,16.66666667,-1,-8.333333333
-9,-47.36842105,4,21.05263158,0,0
-2,-25,0,0,-1,-12.5
-4,-19.04761905,1,4.761904762,-4,-19.04761905
-1,-16.66666667,-3,-50,0,0
-5,-16.12903226,-7,-22.58064516,-3,-9.677419355
-4,-33.33333333,0,0,-2,-16.66666667
-3,-15.78947368,1,5.263157895,-4,-21.05263158
0,0,-0.5,-6.25,-1,-12.5
-8,-38.0952381,1,4.761904762,2,9.523809524
1,16.66666667,0,0,0,0
-3,-9.677419355,2,6.451612903,2,6.451612903
-5,-41.66666667,-1,-8.333333333,-4,-33.33333333
-10,-52.63157895,-2,-10.52631579,2,10.52631579
-4,-50,-2,-25,-1,-12.5
-9,-42.85714286,-4,-19.04761905,2,9.523809524
-3,-50,-2,-33.33333333,1,16.66666667
-16,-51.61290323,-8,-25.80645161,1,3.225806452
-6,-50,0,0,2,16.66666667
-8,-42.10526316,-4,-21.05263158,0,0
-4,-50,,,0,0
-1,-4.761904762,,,3,14.28571429
-4,-66.66666667,,,-3,-50
1,3.225806452,,,-4,-12.90322581
-2,-16.66666667,,,1,8.333333333
-1,-5.263157895,,,-2,-10.52631579
-2,-25,,,0,0
-6,-28.57142857,,,3,14.28571429
-1,-16.66666667,,,-3,-50
-11,-35.48387097,,,-4,-12.90322581
-3,-25,,,1,8.333333333
-9,-47.36842105,,,-2,-10.52631579
-4,-50,,,-1,-12.5
-7,-33.33333333,,,2,9.523809524
-3,-50,,,0,0
-12,-38.70967742,,,-3,-9.677419355
-4,-33.33333333,,,0,0
-7,-36.84210526,,,-1,-5.263157895
-3,-37.5,,,-1,-12.5
1,4.761904762,,,-1,-4.761904762
-3,-50,,,0,0
6,19.35483871,,,-5,-16.12903226
-3,-25,,,-2,-16.66666667
-6,-31.57894737,,,-7,-36.84210526
0,0,,,,
1,4.761904762,,,,
0,0,,,,
1,3.225806452,,,,
1,8.333333333,,,,
2,10.52631579,,,,
2,25,,,,
-1,-4.761904762,,,,
2,33.33333333,,,,
-3,-9.677419355,,,,
2,16.66666667,,,,
1,5.263157895,,,,
